Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
        Sino-Tibetan languages,233135,1345,2665,5655,3750,2025,2960,3010,3345,3955,14390,10845,3630,11090,8015,8280,5360,26695,23585,3355,4255,7425,37365,33010,3800,3330
          Chinese languages,226720,1105,2370,3435,2050,1740,2880,2790,3315,3800,14290,10825,3600,10935,7875,8265,5295,26630,23510,3290,4100,7355,37305,32910,3735,3310
            Hakka,2595,20,10,30,15,15,20,25,35,20,115,30,45,60,95,30,40,150,100,60,90,145,585,650,95,115
            Mandarin,112490,435,1295,1845,880,450,1480,660,1825,1090,8325,6595,1975,7365,1990,4930,2775,16340,14445,830,1400,3400,17780,11660,1515,1220
            Min Dong,465,0,0,0,0,0,0,0,0,0,45,0,0,10,35,0,0,10,10,0,20,0,115,205,0,0
"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",4530,65,95,95,70,120,210,185,95,100,240,150,50,135,270,125,150,425,625,65,70,70,630,365,60,70
            Wu (Shanghainese),1720,0,15,60,0,0,30,0,15,25,120,80,15,105,70,90,75,180,195,30,40,70,290,135,0,45
            Yue (Cantonese),102755,570,895,1365,1050,1115,1125,1840,1340,2520,5345,3845,1510,3070,5325,3045,2200,9325,7805,2265,2440,3575,17630,19715,1990,1840
"            Chinese, n.o.s.",2055,10,50,40,25,35,20,55,15,40,105,125,0,180,95,30,40,185,295,30,45,80,265,180,70,25
"            Chinese languages, n.i.e.",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,10,0,0,0
          Tibeto-Burman languages,6335,240,295,2215,1705,285,65,215,30,155,100,15,20,150,135,15,70,60,75,65,140,60,55,95,55,20
            Burmese,495,35,0,30,10,0,25,45,10,0,10,0,0,40,65,15,10,55,10,20,0,0,30,40,10,0
            Kuki-Chin languages,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Karenic languages,200,0,0,0,0,0,0,150,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              S'gaw Karen,155,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Karenic languages, n.i.e.",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tibetan,5430,195,295,2150,1670,275,30,20,15,105,85,0,10,95,60,0,50,0,55,35,130,60,30,0,40,0
"            Tibeto-Burman languages, n.i.e.",195,0,0,40,25,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,45,0,0
"          Sino-Tibetan languages, n.i.e.",80,0,0,0,0,0,15,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,0
        Tai-Kadai languages,1770,70,15,165,55,115,40,160,65,15,115,105,65,200,75,35,25,65,40,40,55,55,80,35,40,35
          Lao,590,35,10,40,20,70,40,150,35,0,10,10,20,30,0,15,10,10,0,15,15,20,0,0,20,15
          Thai,1090,35,10,115,40,40,0,10,25,10,100,90,45,170,65,20,20,60,35,15,35,35,65,0,20,20
"          Tai-Kadai languages, n.i.e.",90,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,20,15,0,0
        Turkic languages,13180,350,600,555,285,435,1615,990,535,375,765,570,560,665,420,600,655,755,930,330,175,445,270,80,100,110
          Azerbaijani,1155,0,25,45,10,0,195,0,0,0,50,45,45,75,15,55,50,120,320,25,10,10,25,0,0,0
          Kazakh,140,0,0,0,10,0,30,0,0,0,15,15,0,10,0,0,0,0,15,0,0,15,0,0,0,0
          Turkish,11085,345,500,385,245,420,1310,980,520,375,690,510,500,555,405,535,480,565,565,250,155,375,215,70,55,80
          Uyghur,215,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,10,0,0,20,0,0,35,0
          Uzbek,405,0,15,115,0,0,65,0,10,0,0,0,0,0,0,0,60,20,0,0,0,0,25,0,0,25
"          Turkic languages, n.i.e.",180,0,0,0,20,0,10,0,0,0,0,0,0,20,0,0,40,10,15,0,0,0,0,0,0,0
        Uralic languages,11685,320,715,605,645,445,470,315,970,350,280,460,900,225,355,565,590,465,560,575,535,400,230,105,295,310
          Estonian,1395,0,70,75,100,15,15,0,30,35,35,70,110,25,110,150,90,15,105,95,55,25,35,20,30,80
          Finnish,1070,0,35,70,50,15,20,0,55,25,40,30,75,35,75,40,80,70,60,70,60,55,25,15,15,40
          Hungarian,9215,305,615,460,495,410,435,305,880,295,210,365,715,165,170,370,415,380,395,410,420,320,170,75,250,190
"        Other languages, n.i.e.",165,35,10,70,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Multiple responses,182245,9230,6380,8015,4965,7130,7800,8755,6525,5965,9705,5225,5895,8910,4690,5885,7755,9020,8160,5655,7790,9160,7480,6855,8235,7050
    English and French,12375,260,470,660,715,315,290,315,355,735,980,795,675,825,850,520,370,375,385,760,355,320,265,150,320,305
    English and non-official language(s),147470,8015,5070,6120,3545,6145,6555,7530,5315,4540,7500,3720,4450,6925,3240,4540,6250,7330,6625,4220,6555,7760,6275,6110,7075,6055
    French and non-official language(s),3430,110,110,135,95,75,135,140,105,190,230,170,175,295,130,115,205,165,110,130,160,105,135,90,70,60
"    English, French and non-official language(s)",3740,140,185,235,135,90,75,65,110,140,260,170,125,235,120,110,150,220,135,100,125,225,135,115,180,140
    Multiple non-official languages,15230,705,540,860,475,505,740,705,640,360,735,375,480,630,345,590,780,935,900,450,595,745,670,390,585,490
,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All languages spoken  at home for the population in private households - 25% sample data,2761285,115120,117200,139915,104715,115675,107355,111200,114820,104735,135400,102385,114095,116930,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  English,1480370,53455,69545,86925,73945,60420,49315,50160,72650,62005,82725,67620,76625,65720,72770,58465,44480,39335,40150,76910,61460,48870,32825,27915,49730,56350
  French,9210,265,285,390,415,220,125,155,295,400,855,620,550,765,585,345,360,195,175,520,375,315,205,150,425,225
  Non-official language,375420,17525,12640,13345,6910,17895,17990,19490,11025,14675,10670,8935,9115,11235,8305,11120,13435,25010,27365,6895,12365,17825,28785,27570,13920,11395
    Indigenous,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Non-Indigenous,375390,17525,12640,13345,6900,17895,17990,19490,11025,14670,10670,8930,9110,11235,8305,11120,13425,25010,27365,6885,12365,17825,28785,27570,13920,11395
  English and French,31735,660,1010,1790,2200,815,655,545,1165,1640,2440,1885,1890,2115,2250,1375,1090,775,770,2175,1015,740,695,410,820,780
  English and non-official language(s),800495,39500,31300,34630,19545,34435,36320,38000,27950,24150,35900,21440,24105,34420,18710,27415,32045,43935,45255,20190,32810,40870,36885,34140,35355,31175
  French and non-official language(s),1875,80,35,135,20,150,65,75,30,95,110,85,50,130,15,45,70,80,50,85,50,80,100,40,115,85
"  English, French and non-official language(s)",26965,885,1315,1465,1075,835,860,615,880,1035,1665,1140,1075,1510,920,1210,1365,1465,1190,1030,945,1035,815,855,1015,770
  Multiple non-official languages,35210,2735,1070,1245,605,910,2030,2165,820,725,1030,665,680,1040,1015,1040,1495,1795,2175,690,1075,1815,3385,2945,1360,720
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
Total - Language spoken most often at home for the population in private households - 25% sample data,2761285,115120,117200,139915,104715,115675,107355,111200,114820,104735,135400,102385,114095,116930,104555,101025,94335,112590,117125,108500,110095,111560,103690,94025,102755,101485
  Single responses,2557660,103940,110180,132105,100220,107750,98775,99745,107935,99310,127660,98210,108990,108010,99960,94060,85395,101315,107285,102760,100685,99880,94490,84340,91970,92695
    Official languages,1846670,67760,85810,106045,86490,76455,63545,64125,86520,76725,106255,81880,90820,84585,85240,71365,58015,55725,57000,88475,74380,63905,45745,39155,62200,68460
      English,1830945,67360,85330,105230,85720,76075,63260,63840,85995,76050,104785,80955,89870,83360,84260,70820,57325,55340,56685,87505,73840,63360,45450,38850,61550,68095
      French,15725,400,475,815,775,380,285,285,525,675,1465,925,950,1225,980,540,690,385,305,970,540,545,290,300,655,365
    Non-official languages,710990,36180,24370,26060,13725,31300,35230,35615,21415,22585,21410,16330,18170,23425,14720,22695,27380,45585,50290,14285,26300,35975,48750,45190,29765,24240
      Indigenous languages,85,0,0,0,10,0,0,0,0,15,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
        Algonquian languages,65,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
          Blackfoot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cree-Innu languages,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Cree languages,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Ililimowin (Moose Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Inu Ayimun (Southern East Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Iyiyiw-Ayimiwin (Northern East Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nehinawewin (Swampy Cree),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nehiyawewin (Plains Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Nihithawiwin (Woods Cree),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Cree, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Innu (Montagnais),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Eastern Algonquian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Wolastoqewi (Malecite),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ojibway-Potawatomi languages,40,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Anicinabemowin (Algonquin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Ojibway languages,40,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Anishinaabemowin (Chippewa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Daawaamwin (Odawa),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Saulteau (Western Ojibway),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Ojibway, n.o.s.",35,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Algonquian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Northern Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dakelh (Carrier),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dane-zaa (Beaver),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Dene, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Gwich'in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Deh Gah Ghotie Zhatie (South Slavey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Satuotine Yati (North Slavey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Kaska (Nahani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Tahltan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tlicho (Dogrib),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tse'khene (Sekani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tsilhqot'in (Chilcotin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tsuu T'ina (Sarsi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Tutchone, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Wetsuwet'en-Babine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Haida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Inuktut (Inuit) languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Inuinnaqtun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Inuvialuktun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Inuktut (Inuit) languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Iroquoian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cayuga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mohawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Ktunaxa (Kutenai),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Michif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Ntlakapamux (Thompson),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Secwepemctsin (Shuswap),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Squamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Syilx (Okanagan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Salish languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Siouan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Assiniboine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tsimshian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Kwak'wala (Kwakiutl),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Indigenous languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Indigenous languages, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Non-Indigenous languages,710905,36175,24370,26060,13720,31295,35230,35615,21415,22570,21410,16325,18160,23415,14710,22695,27375,45585,50290,14280,26300,35975,48750,45190,29765,24240
        Afro-Asiatic languages,40230,6120,1335,1220,870,2850,1190,2990,1205,490,1315,765,990,2245,505,1395,2915,1440,915,995,2040,2305,1595,600,1285,655
          Berber languages,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Kabyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tamazight,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Berber languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Chadic languages,125,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Hausa,115,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Mina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Coptic,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Cushitic languages,7165,2010,605,330,130,1675,60,660,200,70,40,25,55,370,60,35,155,65,30,50,155,145,70,10,85,65
            Bilen,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oromo,635,55,30,20,10,105,15,0,50,10,0,0,10,45,20,0,10,0,30,15,60,65,0,0,15,15
            Somali,6440,1960,580,310,110,1570,50,595,145,60,35,0,45,320,40,15,140,65,0,40,95,65,60,10,70,45
"            Cushitic languages, n.i.e.",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Semitic languages,32875,4080,730,885,745,1150,1115,2325,1010,420,1220,740,935,1865,445,1350,2750,1370,875,940,1890,2155,1525,585,1190,570
            Amharic,3995,45,140,160,185,195,30,50,90,100,205,45,150,455,65,60,235,25,15,360,650,225,30,45,270,180
            Arabic,17965,1125,415,645,265,325,475,625,150,140,805,570,355,1100,195,1045,2170,1305,640,315,625,1750,1410,490,715,315
            Aramaic languages,4530,2785,75,20,0,30,75,1300,25,0,30,0,0,0,0,30,15,15,0,0,0,30,65,0,20,0
              Assyrian Neo-Aramaic,3590,2235,40,20,0,20,60,1060,20,0,0,0,0,0,0,30,0,15,0,0,0,15,55,0,0,0
              Chaldean Neo-Aramaic,800,490,25,0,0,0,15,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Aramaic, n.o.s.",135,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
            Harari,330,15,0,0,0,0,0,0,0,0,0,0,0,30,15,0,30,0,0,0,100,35,0,30,15,20
            Hebrew,1805,0,0,15,20,0,415,0,605,30,85,85,135,25,25,75,20,0,215,25,0,0,0,0,0,0
            Maltese,275,20,50,15,85,45,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tigrigna,3930,90,40,25,180,545,120,320,140,140,90,40,295,260,145,110,280,10,10,225,510,105,15,25,160,50
"            Semitic languages, n.i.e.",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
        Austro-Asiatic languages,20480,955,390,545,745,3035,1925,6215,570,1150,500,240,290,625,790,80,135,270,305,120,340,270,315,295,175,215
          Khmer (Cambodian),730,35,0,0,0,45,75,420,0,0,15,0,20,15,30,0,0,0,0,0,10,0,0,0,0,0
          Vietnamese,19725,905,390,545,745,2980,1850,5795,560,1140,485,225,270,615,760,80,135,265,300,120,325,265,310,285,175,215
"          Austro-Asiatic languages, n.i.e",25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Austronesian languages,62525,2145,1040,1215,835,3140,9500,3710,4975,850,530,265,1750,1940,720,1110,2400,2145,3345,1135,3220,5570,2510,2270,3170,3015
          Bikol,175,0,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"          Bisaya, n.o.s.",760,40,25,0,0,40,75,80,145,0,0,0,20,0,0,0,15,60,35,0,20,100,0,0,25,15
          Cebuano,1600,0,30,30,30,65,265,80,135,0,0,0,55,60,25,0,50,90,100,55,85,210,25,90,50,50
          Fijian,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Hiligaynon,1260,25,70,25,35,115,105,105,150,30,0,0,70,50,30,20,40,25,75,0,65,90,30,0,65,15
          Ilocano,5390,180,35,75,65,420,1110,415,495,125,0,0,165,235,35,50,140,120,500,95,180,380,165,125,125,160
          Indonesian,750,40,0,65,0,0,0,0,0,0,50,20,20,70,20,20,25,90,125,20,15,30,95,30,0,0
          Kankanaey,140,35,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Kinaray-a,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Malagasy languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Merina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Malagasy, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Malay,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Pampangan (Kapampangan, Pampango)",455,0,0,0,0,20,25,40,60,0,0,0,0,45,0,0,35,0,0,0,35,60,0,45,20,50
          Pangasinan,145,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0
"          Tagalog (Pilipino, Filipino)",51375,1765,865,1005,710,2445,7770,2930,3885,695,450,235,1410,1445,595,985,2055,1680,2480,935,2775,4660,2140,1920,2845,2690
          Waray-Waray,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Austronesian languages, n.i.e.",310,35,0,0,0,15,30,25,25,0,10,0,0,0,10,10,0,15,25,0,10,15,15,20,0,15
        Creole languages,1465,270,35,35,0,70,55,115,50,20,20,10,20,50,0,30,30,25,30,25,20,115,70,45,200,100
          Haitian Creole,340,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,135,60
          Jamaican English Creole,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
          Krio,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Morisyen,490,135,0,20,0,0,35,0,0,0,0,0,0,20,0,0,0,15,30,20,0,45,50,30,30,0
          Sango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Creole, n.o.s.",400,65,0,20,0,60,0,75,0,10,0,10,10,20,0,0,0,0,0,0,15,30,15,15,30,0
