Population,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25
        Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Northern Athabaskan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Babine (Wetsuwet'en),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Carrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Chilcotin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Dogrib (Tlicho),0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Gwich'in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Sarsi (Sarcee),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Sekani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Slavey-Hare languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              North Slavey (Hare),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              South Slavey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"              Slavey, n.o.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tahltan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Kaska (Nahani),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Tahltan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Tutchone languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Northern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Southern Tutchone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Athabaskan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Haida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Inuit languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuinnaqtun (Inuvialuktun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Inuit languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Iroquoian languages,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
          Cayuga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mohawk,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
          Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Iroquoian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Kutenai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Michif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Salish languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Halkomelem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Lillooet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Okanagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Shuswap (Secwepemctsin),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Squamish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Straits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Thompson (Ntlakapamux),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Salish languages, n.i.e.",10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Siouan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Siouan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Tsimshian languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Gitxsan (Gitksan),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nisga'a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Tsimshian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Wakashan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Haisla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Heiltsuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Kwakiutl (Kwak'wala),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Nuu-chah-nulth (Nootka),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Aboriginal languages, n.o.s.",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Non-Aboriginal languages,699980,36535,24835,22905,14765,32425,33170,36950,19820,26760,17005,16515,14520,19175,16395,22110,27120,45710,50780,15385,25240,33810,50590,48600,27045,21815
        Afro-Asiatic languages,35760,6855,1040,945,840,2730,1040,2830,1025,540,890,1010,760,2000,375,1050,2045,1415,1265,780,1450,1585,1440,410,915,530
          Berber languages,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
            Kabyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Berber languages, n.i.e.",15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
          Cushitic languages,7155,2295,385,260,70,1680,55,575,195,60,75,10,35,440,115,20,140,15,30,35,175,140,115,30,95,100
            Bilen,20,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Oromo,465,20,20,30,25,90,15,20,65,0,10,10,10,75,0,15,10,0,0,10,10,20,0,0,10,10
            Somali,6645,2280,365,235,45,1585,35,545,130,60,70,10,25,345,120,0,135,15,30,20,170,125,120,25,85,90
"            Cushitic languages, n.i.e.",20,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
          Semitic languages,28425,4445,655,680,775,1045,990,2240,835,470,805,1005,720,1540,255,1030,1905,1395,1240,740,1275,1445,1325,375,800,435
            Amharic,3445,120,50,55,185,270,40,20,70,185,115,80,110,470,65,80,135,15,10,265,530,210,30,30,170,135
            Arabic,15965,1520,445,540,300,260,345,920,160,110,605,740,285,810,130,780,1610,1325,950,280,420,1135,1175,340,515,250
            Assyrian Neo-Aramaic,3790,2335,60,10,0,20,125,1095,0,10,0,0,0,0,0,0,20,0,10,0,0,0,65,0,55,0
            Chaldean Neo-Aramaic,380,305,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Harari,330,10,0,0,20,20,0,10,15,0,10,0,0,0,10,0,10,10,0,30,70,60,10,10,20,20
            Hebrew,1765,10,0,35,15,15,425,0,445,25,40,145,190,30,0,95,0,20,260,10,0,0,0,0,0,0
            Maltese,400,35,55,25,140,85,0,0,0,15,0,10,15,0,0,0,0,0,0,0,0,10,15,0,0,0
            Tigrigna,2225,85,35,10,110,365,30,105,145,120,10,30,125,220,60,80,125,25,10,155,255,40,30,0,35,25
"            Semitic languages, n.i.e.",120,20,0,0,0,0,30,10,0,15,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"          Afro-Asiatic languages, n.i.e.",175,120,0,0,0,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0
        Austro-Asiatic languages,17325,735,205,375,635,3000,1460,5640,400,1250,365,140,295,555,485,45,210,130,165,100,255,270,100,155,190,180
          Khmer (Cambodian),810,40,0,0,0,55,35,575,0,20,10,0,20,15,10,10,0,0,0,0,0,0,0,0,10,0
          Vietnamese,16505,690,205,375,635,2945,1425,5060,395,1225,355,135,270,540,475,40,205,125,165,100,255,270,95,150,180,180
"          Austro-Asiatic languages, n.i.e",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Austronesian languages,50600,1575,830,1200,705,2370,6965,2020,4555,575,425,230,1655,1725,545,915,2510,1750,2540,1045,3055,4680,2015,1885,2360,2475
          Bikol,70,0,0,0,0,0,0,0,25,0,0,0,0,0,0,10,25,0,0,0,0,0,0,15,0,0
          Cebuano,1530,50,25,20,40,115,215,155,155,0,0,10,30,30,25,30,60,15,85,50,170,100,55,20,25,50
          Fijian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Hiligaynon,640,35,0,15,0,50,155,35,25,10,0,15,30,15,10,20,10,25,60,10,10,40,30,10,25,15
          Ilocano,2940,45,20,30,20,165,740,175,350,55,0,0,150,85,20,20,85,70,170,35,220,165,55,50,110,105
          Malagasy,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Malay,770,20,40,15,0,10,40,10,25,0,20,25,10,30,0,35,40,110,125,55,0,10,95,40,0,10
"          Pampangan (Kapampangan, Pampango)",215,45,0,10,0,0,0,25,10,0,0,0,15,0,10,0,10,10,15,0,20,10,10,0,20,0
          Pangasinan,25,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,15,0,0,0,0
"          Tagalog (Pilipino, Filipino)",44075,1375,740,1110,620,2030,5695,1600,3925,505,400,175,1410,1560,465,800,2285,1495,2090,870,2630,4345,1745,1750,2170,2285
          Waray-Waray,65,0,0,0,10,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"          Austronesian languages, n.i.e.",255,0,0,0,0,10,85,15,20,0,0,0,0,0,15,0,10,35,0,30,0,0,30,0,0,0
        Creole languages,1555,280,40,55,10,85,85,185,15,10,25,15,20,15,10,10,50,50,30,10,60,100,80,80,190,50
          Haitian Creole,70,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0,0,10,10
"          Creole, n.o.s.",1105,255,40,20,10,40,65,80,15,10,15,0,20,15,15,10,20,15,25,10,55,65,75,65,155,15
"          Creole languages, n.i.e.",380,30,0,15,0,45,20,95,0,0,15,10,0,0,0,0,30,35,10,0,0,15,0,10,30,20
        Dravidian languages,46225,1830,490,360,355,765,265,1850,215,225,240,75,295,1480,145,385,1015,890,415,615,2745,6630,3475,7155,5765,8560
          Kannada,300,30,15,15,0,10,10,0,0,0,10,0,0,20,10,10,0,15,20,35,10,40,0,20,15,0
          Malayalam,2700,230,70,35,45,60,20,80,10,20,20,35,35,60,0,25,35,85,95,0,180,320,245,130,530,340
          Tamil,40850,1485,365,195,250,700,225,1670,195,195,135,20,175,1250,125,300,880,535,170,325,2350,5975,3075,6950,5140,8160
          Telugu,2340,85,30,110,60,0,15,100,10,10,75,20,75,140,20,45,95,240,130,250,205,290,150,60,80,45
"          Dravidian languages, n.i.e.",40,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,10
        Hmong-Mien languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Indo-European languages,316015,21885,18270,15115,8315,20125,18295,18580,10420,19630,6095,6290,8060,6485,7060,13080,15545,14950,18985,9040,12830,12715,7440,6040,13515,7260
          Albanian,4280,205,645,515,75,250,90,110,585,45,55,50,145,30,260,110,165,145,20,175,175,230,25,0,105,75
          Armenian,5320,95,25,45,15,30,130,95,45,0,35,30,20,80,0,220,780,895,190,15,45,370,1885,90,115,65
          Balto-Slavic languages,60825,1360,9585,8685,4740,1325,8025,870,2185,705,1260,705,1705,1215,1330,1765,2615,2110,4715,1285,1190,1045,495,240,895,770
            Baltic languages,1030,20,120,195,270,45,40,10,10,35,15,0,15,0,20,35,95,10,40,20,10,0,10,0,20,10
              Latvian,400,0,30,10,45,20,20,10,0,10,15,0,10,0,10,30,95,10,30,15,10,0,0,0,20,0
              Lithuanian,630,15,90,180,230,25,15,0,0,30,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,10
            Slavic languages,59800,1345,9465,8500,4465,1280,7990,860,2175,670,1250,700,1695,1215,1305,1735,2525,2095,4675,1270,1185,1040,495,235,870,760
              Belarusan,70,0,10,40,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Bosnian,570,30,190,70,0,10,0,0,55,0,20,0,25,0,20,10,35,0,10,60,10,0,35,0,0,0
              Bulgarian,2260,25,285,155,40,95,230,20,60,0,60,60,80,50,215,110,160,75,75,220,130,30,60,20,10,0
              Croatian,1965,275,425,300,120,155,55,60,50,50,30,20,60,30,20,55,25,20,60,50,15,25,10,15,20,10
              Czech,810,0,70,65,75,0,105,60,20,15,20,10,20,10,15,10,90,15,10,45,40,30,15,0,60,20
              Macedonian,2705,20,200,25,0,25,15,50,25,25,10,25,30,20,155,85,115,140,40,200,355,445,195,95,180,225
              Polish,10660,575,1865,2795,1565,480,265,230,160,135,155,80,150,140,70,120,235,160,185,105,245,215,55,55,320,305
              Russian,22745,185,1160,1445,1075,230,6915,300,1290,260,680,315,750,690,190,605,565,1180,3910,295,205,150,90,10,130,120
              Serbian,8120,55,2155,970,710,75,165,50,445,20,175,90,445,195,515,410,520,325,155,255,95,110,25,15,65,70
              Serbo-Croatian,585,10,105,95,45,0,20,15,0,10,10,0,35,15,35,50,20,50,0,25,30,10,0,0,0,10
              Slovak,1535,0,135,130,45,10,15,15,10,15,20,10,15,0,25,260,710,30,20,0,20,0,0,0,60,0
              Slovene (Slovenian),420,45,95,125,10,0,0,15,10,10,0,15,0,0,10,0,0,15,10,10,0,10,0,20,10,0
              Ukrainian,7285,125,2765,2285,775,185,175,55,45,120,70,65,90,60,25,20,45,80,195,10,35,15,10,10,10,10
"              Slavic languages, n.i.e.",55,0,10,0,10,0,0,0,0,0,10,0,0,10,10,0,0,0,20,0,0,0,0,0,0,0
          Celtic languages,45,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Scottish Gaelic,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
            Welsh,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"            Celtic languages, n.i.e.",25,0,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0
          Germanic languages,2770,90,220,235,105,55,115,30,335,60,160,160,155,120,60,185,105,100,80,90,70,80,25,10,80,50
            Afrikaans,75,0,10,0,15,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,10
            Danish,130,0,15,25,0,10,0,0,0,0,20,10,10,10,0,0,0,0,0,35,0,0,0,0,0,0
            Dutch,300,0,20,10,15,0,0,0,30,0,10,15,45,55,0,50,0,0,15,0,15,0,0,0,0,0
            Frisian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            German,1850,95,175,175,60,35,30,30,120,20,125,120,100,45,65,95,90,95,55,35,55,85,20,15,80,35
            Icelandic,20,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Norwegian,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0
            Swedish,90,0,0,10,0,0,0,0,0,35,0,10,10,0,0,15,10,0,0,10,0,0,0,0,0,0
            Vlaams (Flemish),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Yiddish,280,0,0,0,0,0,85,0,180,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"            Germanic languages, n.i.e.",10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Greek,12875,160,225,125,215,280,470,110,380,510,75,275,560,50,2535,430,945,820,165,855,760,1525,755,120,415,120
          Indo-Iranian languages,121995,14545,2105,1350,830,2070,1980,5985,1035,1150,1575,1120,1120,3415,1640,8835,8265,8040,11215,5070,9285,7685,3040,5015,10560,5065
            Indo-Aryan languages,83945,13560,1585,945,530,1790,780,5295,380,970,815,510,315,2560,1375,5380,4970,2275,1020,4505,8215,5835,2240,4730,9020,4350
              Bengali,18870,660,190,170,90,280,135,315,35,430,70,85,80,1265,160,435,900,425,165,2615,5650,1460,250,320,1735,945
              Gujarati,16240,3265,140,255,45,585,110,725,85,45,20,25,0,40,430,600,1160,440,110,235,180,1385,450,1395,3690,820
              Hindi,7725,1045,275,215,95,215,145,440,90,135,360,195,110,270,135,160,470,370,320,150,285,640,215,435,595,355
              Kashmiri,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
              Konkani,130,15,15,0,10,20,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0,15,0,10,10,10
              Marathi,735,70,15,0,35,0,0,0,0,0,20,10,45,100,0,20,10,105,105,0,10,40,50,30,35,30
              Nepali,1700,45,0,30,65,20,40,35,0,10,15,15,0,415,55,40,60,10,10,150,230,205,50,40,170,0
              Oriya (Odia),120,0,0,0,15,0,0,0,0,0,0,0,0,25,0,0,15,10,0,10,30,0,10,0,0,10
              Punjabi (Panjabi),12245,6330,160,95,50,215,165,1570,100,175,95,15,15,90,170,165,160,205,20,155,190,205,150,620,375,780
              Sindhi,1205,35,0,10,0,10,20,0,0,10,10,0,0,0,0,240,230,80,35,155,95,85,80,50,35,25
              Sinhala (Sinhalese),1610,185,70,20,0,15,25,55,10,0,10,10,0,10,0,25,80,110,0,10,90,130,80,155,330,185
              Urdu,23350,1925,710,150,130,425,125,2145,60,165,205,160,55,340,430,3700,1880,510,255,1030,1455,1655,915,1685,2040,1190
            Iranian languages,37645,945,515,385,300,280,1155,695,650,170,750,610,800,850,260,3415,3270,5740,10170,520,1065,1795,790,275,1525,700
              Kurdish,870,10,10,45,0,10,135,20,10,0,0,15,10,20,0,40,140,155,40,20,40,30,60,0,20,30
              Pashto,3100,140,35,20,20,0,45,100,30,0,0,20,0,55,80,890,355,120,0,85,125,440,145,95,185,105
              Persian (Farsi),33670,800,465,325,275,275,975,575,610,170,735,580,790,775,180,2485,2775,5465,10125,420,900,1320,580,175,1325,575
"            Indo-Iranian languages, n.i.e.",410,35,10,15,0,0,45,0,0,10,10,10,0,0,0,45,30,25,25,50,0,60,10,10,10,10
          Italic (Romance) languages,107920,5430,5470,4160,2335,16130,7485,11385,5870,17155,2925,3925,4350,1560,1235,1540,2665,2835,2615,1535,1305,1785,1210,555,1345,1115
            Catalan,20,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
            Italian,26715,1785,1520,915,155,3220,3280,4900,2010,2620,85,940,810,65,365,65,185,390,535,440,475,550,615,200,275,320
            Portuguese,33715,555,1290,1290,900,7345,680,615,1670,11555,1510,2080,1455,310,280,245,105,310,480,275,175,195,90,65,165,70
            Romanian,6025,70,450,225,120,60,365,105,380,35,105,60,245,50,35,355,915,905,345,255,120,250,155,15,215,175
            Spanish,41395,3015,2205,1730,1160,5470,3145,5750,1815,2950,1220,840,1835,1145,550,870,1460,1225,1255,570,535,785,350,275,690,555
"            Italic (Romance) languages, n.i.e.",50,0,0,0,0,35,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Japanese,3085,10,70,95,70,50,55,45,75,100,265,310,185,130,115,140,95,255,530,130,135,15,70,55,50,40
        Kartvelian languages,665,0,40,0,25,0,285,10,30,0,0,0,0,0,0,0,15,0,210,0,10,30,0,0,0,0
          Georgian,665,0,40,0,25,0,290,0,30,0,0,0,0,0,0,0,15,0,210,0,10,30,0,0,0,0
        Korean,23570,335,1300,1375,325,245,1170,220,435,305,640,990,770,795,165,895,770,3165,8050,295,175,280,405,140,200,125
        Mongolic languages,185,0,0,30,0,0,0,0,0,20,0,0,20,40,0,0,0,0,10,15,0,20,0,20,10,0
          Mongolian,180,0,0,30,0,0,0,0,0,20,0,0,15,45,0,0,0,0,10,10,0,20,0,20,10,0
        Niger-Congo languages,6265,1395,135,125,100,755,205,1465,115,25,90,30,75,270,80,115,160,90,20,80,210,165,70,50,345,95
          Akan (Twi),2605,810,75,25,15,345,125,780,25,0,10,0,35,40,25,0,0,15,10,0,45,15,25,45,100,45
          Bamanankan,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
          Edo,280,105,15,0,0,65,0,60,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,15,0
          Ewe,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Fulah (Pular, Pulaar, Peul, Fulfulde)",50,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
          Ga,105,45,0,10,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
          Ganda,110,35,0,10,0,0,0,10,0,0,30,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0
          Igbo,280,100,0,0,0,35,0,130,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
          Lingala,55,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,0,0,0,0,0,10
          Rundi (Kirundi),90,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,20,10,0,15,10,10,0,0,10,0
          Kinyarwanda (Rwanda),95,0,10,0,0,0,10,0,0,0,10,10,0,0,10,20,0,0,0,10,10,0,0,0,10,0
          Shona,135,10,25,0,0,15,0,0,0,0,0,0,10,0,10,0,25,0,0,0,0,10,20,0,25,0
          Swahili,1155,70,0,40,35,70,35,210,55,10,15,0,10,130,40,65,40,35,10,20,65,60,15,0,90,25
          Wolof,60,0,0,0,10,0,0,10,10,0,0,0,0,0,10,0,10,0,0,15,0,0,0,0,0,0
          Yoruba,595,145,10,15,0,60,35,175,0,10,15,0,10,10,0,10,20,30,0,0,25,0,10,0,35,0
"          Niger-Congo languages, n.i.e.",630,80,0,40,40,120,0,70,10,10,0,10,25,20,0,15,25,0,0,20,40,55,0,0,50,0
        Nilo-Saharan languages,45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0
          Dinka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Nilo-Saharan languages, n.i.e.",45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,15,0,0,0,0,0
        Sign languages,970,50,55,50,40,95,30,30,30,45,10,35,40,10,40,25,15,40,65,10,50,25,45,55,25,50
          American Sign Language,360,10,10,30,10,40,0,15,10,10,0,15,15,0,20,10,0,10,45,10,25,10,35,10,15,25
          Quebec Sign Language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Sign languages, n.i.e",605,35,40,20,30,60,30,15,30,40,10,20,25,0,20,10,15,25,25,0,25,20,10,50,10,20
        Sino-Tibetan languages,184570,985,1690,2730,2660,1605,2115,2970,1775,3490,7790,7130,1785,5345,7185,4635,3750,22420,17950,2665,3805,6825,35245,32510,3220,2310
          Chinese languages,180635,935,1650,1670,1030,1460,2055,2790,1770,3295,7750,7130,1760,5290,7025,4610,3745,22360,17945,2635,3710,6790,35220,32485,3215,2305
            Cantonese,83915,560,490,570,480,1080,875,1715,760,2130,2810,2585,790,1500,4795,1680,1375,8025,5840,1615,2160,2660,16470,20070,1455,1415
            Hakka,1195,10,0,0,0,0,35,10,0,0,0,0,10,20,15,20,10,30,65,45,10,130,220,445,35,65
            Mandarin,87505,310,985,950,485,260,975,725,880,1005,4620,4040,915,3475,1870,2735,2155,13535,11200,800,1400,3600,17415,10890,1580,685
            Min Dong,115,0,0,0,0,0,0,0,0,0,20,15,0,0,15,0,0,0,0,0,0,0,20,55,0,0
"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",2470,40,55,15,30,55,135,190,50,100,90,65,25,45,135,25,50,125,265,60,55,80,290,435,10,45
            Wu (Shanghainese),1390,0,65,45,10,0,20,10,15,15,50,55,0,20,35,60,60,160,155,10,25,80,260,155,25,55
"            Chinese, n.o.s.",4000,20,60,75,25,60,20,145,55,45,155,365,20,225,160,95,90,470,415,95,55,230,550,435,105,40
"            Chinese languages, n.i.e.",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,10,0,10,0,0,0,0
          Tibeto-Burman languages,3935,50,35,1060,1625,140,55,180,0,195,35,0,25,60,155,20,0,60,0,35,95,40,25,20,10,10
            Burmese,330,10,0,0,20,0,30,25,0,35,10,0,10,10,65,10,0,35,0,10,25,15,15,10,0,10
